characters_archaeologe;Archaeologe
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#22;[Ohi heads to the treasure chamber. The gate already stands only 20cm ajar, Ohi is too late. Suddenly there is an explosion.]
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#23;[Ohi falls to the ground with the shock. The gap of the treasure chamber's entrance gives off clouds of smoke, surrounding Ohi's legs. The gate closes with a loud noise.]
sequences_pflegerin_seq_a10_eingangsbereich_ueberfall#24;[The director stumbles to it, touches his breast. This is too much for him. Ohi notices it, supports him and lowers him down onto a bench. He settles him. He loosens his tie.]
spokentexts_pflegerin_seq_a10_eingangsbereich_ueberfall_st_13;Tenez, asseyez-vous et essayez de vous calmer !
sequences_pflegerin_seq_a10_eingangsbereich_wachstube_nach_explosion_leave#0;[Ohi and the guardsman arrive at the treasure chamber. The guardsman takes position.]
spokentexts_pflegerin_seq_a10_eingangsbereich_wachstube_nach_explosion_leave_st_2;Je vous laisse cinq minutes ! Ensuite nous suivrons mon plan : ouvrir l'entrée principale et appeler du renfort !
spokentexts_pflegerin_seq_a10_eingangsbereich_wachstube_nach_explosion_leave_st_3;Espérons que je parvienne à atteindre la salle au trésor avant. Je ne veux pas être tenu pour responsable de l'échappée du Corbeau.
sequences_pflegerin_seq_a10_eingangsbereich_wachstube_nach_explosion_leave#5;[Ohi makes a small bow. The guardsman shakes his head, annoyed, and signals him to go away.]
sequences_pflegerin_seq_a10_eingangsbereich_wachstube_nach_explosion_leave#6;[From now on the guardsman stands close to the director and watches Ohi.]
texts_a10_haupthalle_ausgang_mo_leave_1;Monter
sequences_a10_haupthalle_ausgang_leave_1#1;[Ohi goes outside.]
texts_a10_haupthalle_dolche_mo_ex_1__2;Examiner les dagues
spokentexts_a10_haupthalle_dolche_ex_1_st_1;Plusieurs dagues alignées. Leurs formes et leurs motifs sont élégants et intemporels.
spokentexts_a10_haupthalle_dolche_ex_2_st_1;Qu'est-ce qui est écrit là ?
spokentexts_a10_haupthalle_dolche_ex_2_st_2_direction;liest sich einen Text schnell durch
spokentexts_a10_haupthalle_dolche_ex_2_st_2;Hmm-hm... hm-hm... Hmm !
spokentexts_a10_haupthalle_dolche_ex_2_st_3;La dague de gauche est une réplique de celle de la tombe de Toutânkhamon ! Elle devait déjà être incroyablement précieuse à l'époque car elle est en fer.
spokentexts_a10_haupthalle_dolche_ex_2_st_4;Des milliers d'années avant l'âge glaciaire, les météorites étaient la seule source de fer pur.
spokentexts_a10_haupthalle_dolche_ex_2_st_5;Une étoile tombant du ciel et apportant un matériau plus solide que tout ce qui existait à l'époque a dû être un évènement dramatique.
spokentexts_a10_haupthalle_dolche_ex_2_st_6;Ce n'est pas surprenant qu'il l'ait utilisé pour créer une arme pour un pharaon divin !
texts_a10_haupthalle_imhotep_mo_ex_1__2;Examiner la statue
spokentexts_a10_haupthalle_imhotep_ex_1_st_1_direction;liest vor
spokentexts_a10_haupthalle_imhotep_ex_1_st_1;"Une statue d'Imhotep, ""celui qui vient en paix"", datant d'environ 2700 av. JC."
spokentexts_a10_haupthalle_imhotep_ex_1_st_2_direction;liest vor
spokentexts_a10_haupthalle_imhotep_ex_1_st_2;Le premier érudit universellement reconnu, fondateur de la médecine, architecte des premières pyramides et, si l'on en croit la légende, l'inventeur de l'écriture égyptienne.
spokentexts_a10_haupthalle_imhotep_ex_1_st_4_direction;pfeift
spokentexts_a10_haupthalle_imhotep_ex_1_st_4;*siffle*
spokentexts_a10_haupthalle_imhotep_ex_1_st_5;Il a certainement accompli plus que moi durant sa vie.
sequences_a10_haupthalle_imhotep_ex_2#1;[Ohi reads the description, then summarises it for the player.]
spokentexts_a10_haupthalle_imhotep_ex_2_st_1_direction;fasst zusammen
spokentexts_a10_haupthalle_imhotep_ex_2_st_1;C'était une légende. Les grecques le considéraient comme un dieu. Les romains continuaient à l'honorer 3000 ans après sa mort.
spokentexts_a10_haupthalle_imhotep_ex_2_st_2_direction;fasst zusammen
spokentexts_a10_haupthalle_imhotep_ex_2_st_2;Aujourd'hui encore, les savants offrent une goutte d'encre en son honneur avant de débuter un nouveau projet.
spokentexts_a10_haupthalle_imhotep_ex_2_st_3;Vraiment impressionnant !
texts_a10_haupthalle_schaukasten_mo_ex_1-3;Examiner la vitrine
texts_a10_haupthalle_schaukasten_mo_use_1;Ouvrir la vitrine
texts_a10_haupthalle_schaukasten_mo_use_2;Prendre la perche en bois
texts_a10_haupthalle_schaukasten_mo_use_3;Utiliser la perche en bois avec...
texts_a10_haupthalle_schaukasten_mo_used_mit_bueroklammer;Crocheter la serrure de la vitrine
texts_a10_haupthalle_schaukasten_mo_used_mit_schluessel;Ouvrir la vitrine
spokentexts_a10_haupthalle_schaukasten_ex_1_st_1;Hmm. Aha !
spokentexts_a10_haupthalle_schaukasten_ex_1_st_2;Cela illustre comment les égyptiens transportaient les énormes blocs de pierre nécessaires à la construction de leurs pyramides et de leurs temples.
spokentexts_a10_haupthalle_schaukasten_ex_1_st_3;Ils utilisaient des cordes, des traineaux en bois et des perches pour faire levier.
spokentexts_a10_haupthalle_schaukasten_ex_2_st_1;Ces pièces ne sont pas des originales évidemment. Elles ont été reconstruites à l'aide de vieilles images.
spokentexts_a10_haupthalle_schaukasten_ex_2_st_2;Leur capacité à édifier des monuments comme les pyramides avec des outils si basiques reste malgré tout impressionnante.
sequences_a10_haupthalle_schaukasten_take_1#1;[Ohi reaches the wooden pole.]
sequences_a10_haupthalle_schaukasten_take_1#2;[Cut to the gate of the treasure chamber.]
sequences_a10_haupthalle_schaukasten_take_1#3;[Ohi appears with a wooden pole in his hands.]
sequences_a10_haupthalle_schaukasten_take_1#4;[You can only use the wooden pole with the gate (Use the wooden pole with...). If you click somewhere else, Ohi lays the pole down on the floor..]
sequences_a10_haupthalle_schaukasten_use_1#1;[Ohi tries to slide the window open, but it doesn't move.]
spokentexts_a10_haupthalle_schaukasten_use_1_st_1;Verrouillée.
sequences_a10_haupthalle_schaukasten_use_2#1;[Ohi takes the pole from the floor, waits for further commands.]
sequences_a10_haupthalle_schaukasten_use_2#2;[You can only use the wooden pole with the gate (Use the wooden pole with...). If you click somewhere else, Ohi lays the pole on the floor..]
sequences_a10_haupthalle_schaukasten_used_mit_bueroklammer#1;[Ohi takes out the paper clip, wants to put it into the lock, but loses it.]
spokentexts_a10_haupthalle_schaukasten_used_mit_bueroklammer_st_1;Punaise !
sequences_a10_haupthalle_schaukasten_used_mit_bueroklammer#3;[Ohi takes a look around, can't find the paper clip on the floor.]
spokentexts_a10_haupthalle_schaukasten_used_mit_bueroklammer_st_2;Disparu.
sequences_a10_haupthalle_schaukasten_used_mit_schluessel#1;[Ohi takes the key ring out of his trouser pocket, takes a quick look at it, chooses a key and opens the lock.]
spokentexts_a10_haupthalle_schaukasten_used_mit_schluessel_st_1;Ça rentre !
sequences_a10_haupthalle_schaukasten_used_mit_schluessel#3;[Ohi slides cabinet window open.]
texts_a10_haupthalle_steinstatue_mo_ex_1-3;Examiner la statue
texts_a10_haupthalle_steinstatue_mo_ex_5;Examiner la statue
spokentexts_a10_haupthalle_steinstatue_ex_1_st_1;Hmm.
sequences_a10_haupthalle_steinstatue_ex_1#2;[Ohi looks behind the statue, then turns around.]
spokentexts_a10_haupthalle_steinstatue_ex_1_st_2;Matt a dit qu'il avait entendu la statue jurer.
spokentexts_a10_haupthalle_steinstatue_ex_1_st_3;Peut être un effet acoustique ? Il y a des pièces où les sons se propagent très loin de leur source.
spokentexts_a10_haupthalle_steinstatue_ex_2_st_1;Aucune idée de son identité. Il n'a pas l'air très causant.
spokentexts_a10_haupthalle_steinstatue_ex_3_st_1;Hmm. Une statue qui parle... S'il y avait un couloir ou une pièce secrète derrière, cela expliquerait ce qu'a entendu Matt.
spokentexts_a10_haupthalle_steinstatue_ex_3_st_2;Et ça ferait une porte de sortie bienvenue pour le Corbeau !
sequences_a10_haupthalle_steinstatue_ex_3#3;[Ohi examines the statue.]
spokentexts_a10_haupthalle_steinstatue_ex_3_st_3;La question est : comment vais-je accéder au couloir ? Il ne semble pas y avoir une entrée ici.
spokentexts_a10_haupthalle_steinstatue_ex_4_st_1;Matt a une imagination débordante, mais peut être qu'il a vraiment entendu quelque chose...
spokentexts_a10_haupthalle_steinstatue_ex_4_st_2;Hmm. C'est vrai que les bâtiments en dôme peuvent propager des murmures sur de longues distances. Mais ce hall est rectangulaire...
spokentexts_a10_haupthalle_steinstatue_ex_4_st_3;Pourrait-il y avoir une cachette ou une porte secrète quelque part ?
spokentexts_a10_haupthalle_steinstatue_ex_5_st_1;La statue est trop lourde pour être déplacée... et je ne vois ni trou ni fissure dans le mur.
spokentexts_a10_haupthalle_steinstatue_ex_5_st_2;Je ne trouverai rien ici.
spokentexts_a10_haupthalle_steinstatue_ex_6_st_1;C'est Akhénaton. Le seul pharaon dont je reconnais le portrait. Sa tête est assez étrange.
spokentexts_a10_haupthalle_steinstatue_ex_7_st_1;Akhénaton était le mari de Néfertiti et le père de Toutânkhamon. Une famille célèbre.
spokentexts_a10_haupthalle_steinstatue_ex_7_st_2;Il est resté dans l'histoire comme le pharaon qui a voulu remplacer les anciens dieux par un dieu unique.
spokentexts_a10_haupthalle_steinstatue_ex_7_st_3;Les prêtres n'ont pas apprécié et il est mort dans des circonstances inconnues.
texts_a10_haupthalle_wuestenglas_mo_ex_1;Examiner la vitrine
spokentexts_a10_haupthalle_wuestenglas_ex_1_st_1;Ah ! J'ai déjà entendu parler de ça. Du verre lybique !
spokentexts_a10_haupthalle_wuestenglas_ex_1_st_2;Dans la Grande Mer de sable du désert lybique, il y a une région où l'on trouve du verre naturel.
spokentexts_a10_haupthalle_wuestenglas_ex_1_st_3;Personne ne connaît son origine. En Égypte antique, ce précieux matériau était souvent utilisé dans la confection des bijoux.
texts_a10_holzstange_mo_take_1;Prendre la perche en bois
texts_a10_holzstange_mo_use_2;Utiliser la perche en bois avec...
sequences_a10_holzstange_take_1#1;[Ohi grabs the wooden pole.]
sequences_a10_holzstange_take_1#2;[Cut to the gate of the treasure chamber.]
sequences_a10_holzstange_take_1#3;[Ohi appears with a wooden pole in his hands. He lays it on the floor in front of the gate.]
sequences_a10_holzstange_use_2#1;[Ohi takes the pole from the floor, waits for further commands. waits for further commands.]
sequences_a10_holzstange_use_2#2;[You can only use the wooden pole with the gate (Use the pole with the...). If you click somewhere else, Ohi lays the pole on the floor.]
texts_a10_museum_aussen_portemonaie_mo_ex_1;Portefeuille
spokentexts_a10_museum_aussen_portemonaie_ex_1_st_1;Je n'ai rien eu à débourser pour la croisière et l'ambassade française prend en charge mon hôtel.
spokentexts_a10_museum_aussen_portemonaie_ex_1_st_2;C'est une chance ! J'aurais probablement eu du mal à récupérer mes dépenses auprès du capitaine.
sequences_a10_aussen_seq_a10_aussen_ankunft#0;[Fade in. The Egyptian Museum is seen from outside.]
sequences_a10_aussen_seq_a10_aussen_ankunft#1;[Ohi goes upstairs, he is almost at the top of the stairs. Downstairs, a car starts, and drives out of sight, it probably brought Ohi here.]
sequences_a10_aussen_seq_a10_aussen_ankunft#2;[Cut to the entrance.]
sequences_a10_aussen_seq_a10_aussen_ankunft#3;[The museum's director steps out of the door, looking around. Then he finds Ohi. At the same time he carries a folded envelope in his hand (in which is a packet of money that you can't see).]
spokentexts_a10_aussen_seq_a10_aussen_ankunft_st_1;Ah ! Vous êtes un des hommes de Legrand, n'est-ce pas ?
spokentexts_a10_aussen_seq_a10_aussen_ankunft_st_2;Je m'appelle Anton Jakob Zellner.
spokentexts_a10_aussen_seq_a10_aussen_ankunft_st_3;Vous arrivez juste à temps. Grace, mon teckel, a disparu.
sequences_a10_aussen_seq_a10_aussen_ankunft#7;[The director takes another look around.]
spokentexts_a10_aussen_seq_a10_aussen_ankunft_st_4;J'ai des choses plus importantes à faire, Mr...
spokentexts_a10_aussen_seq_a10_aussen_ankunft_st_5;Directeur Abbas Mokhtar.
spokentexts_a10_aussen_seq_a10_aussen_ankunft_st_6;Et Grace n'est pas un simple chien, c'est un teckel allemand pur race ! Une championne !
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#0;[The director bends down, searches behind pillars.]
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_1;Grace ! Ici, Gracie ! Mon coeur ! Où es-tu ?
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#2;[Ohi heads to the door, almost cannons into the butler. Both take position for the conversation.]
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_2;Oh ! Mr Inch.
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#4;[The director whirls around, heads to the butler.]
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_3;Mr Inch ! Vous voilà donc !
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#6;[The director hugs the butler who obviously feels uncomfortable.]
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_4;Je suis vraiment désolé. La Baronne von Trebitz était une femme au grand coeur. Elle a fait beaucoup pour le musée !
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#8;[The director releases him and stands normal again.]
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_5;Tout à fait, monsieur.
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_6;Et vous ? Vous nous quittez déjà ?
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_7;J'aimerais retourner à mon hôtel. Ces derniers jours ont été très difficiles.
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_8_direction;empört
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_8;D'abord vous vous faufilez dans le musée sans me saluer et maintenant vous vous partir si vite ?
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_9;Je ne voulais pas vous déranger. Et nous aurons tout le temps ce soir.
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_10;Oui ! Vous avez intérêt à être là ce soir. Je comptais offrir une médaille à la Baronne von Trebitz. Maintenant c'est vous qui la recevrez !
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_11;Bien sûr. Si vous insistez, monsieur.
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_12_direction;zu Ohi
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_12;La Baronne a tout payé. Sans elle, il n'y aurait eu ni exposition ni gala.
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_13_direction;bestätigend
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_13;Elle était très généreuse.
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_14;Oui, tout à fait.
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_15;Si vous voulez bien m'excuser...
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#22;[The butler nods to the director, then looks at Ohi.]
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_17;Officier Zellner, permettez moi de vous remercier une nouvelle fois. On peut dire que vous m'avez sauvé.
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#24;"[Ohi glances triumphantly to the director. Implying, ""What do you say now?"" Then he looks back to the butler in a friendly way.]"
spokentexts_a10_aussen_seq_a10_aussen_ende_gespraech_st_16;Avec plaisir. À ce soir !
sequences_a10_aussen_seq_a10_aussen_ende_gespraech#23;[The butler grabs his hat, then goes downstairs. The director starts to search for his dog again, Ohi enters the museum.]
texts_a10_schatzkammer_ausgang_mo_leave_1;Sortir
spokentexts_a10_schatzkammer_ausgang_leave_1_st_1;Je pense en avoir vu assez. Mais quelque chose d'autre m'intéresse.
spokentexts_a10_schatzkammer_ausgang_leave_1_st_2;Il y a autre chose qui m'intéresse plus que les choses ici présentes.
sequences_a10_schatzkammer_ausgang_leave_1#6;[Ohi verlässt die Schatzkammer.]
texts_a10_schatzkammer_kamera_mo_ex_1;Examiner la caméra de surveillance
spokentexts_a10_schatzkammer_kamera_ex_1_st_1;Qu'est-ce que c'est ? Une caméra ?
spokentexts_a10_schatzkammer_kamera_ex_1_st_2_direction;stolz
spokentexts_a10_schatzkammer_kamera_ex_1_st_2;Le dernier cri ! On appelle ça la vidéo-surveillance.
spokentexts_a10_schatzkammer_kamera_ex_1_st_3;J'en ai entendu parler ! Les images sont enregistrées et peuvent être revues plus tard.
spokentexts_a10_schatzkammer_kamera_ex_1_st_4;Tout à fait. Les images des trois caméras sont enregistrées dans la salle de sécurité.
spokentexts_a10_schatzkammer_kamera_ex_1_st_5_direction;pfeift anerkennend, 'nicht schlecht'
spokentexts_a10_schatzkammer_kamera_ex_1_st_5;Ouah !
spokentexts_a10_schatzkammer_kamera_ex_1_st_6;Comme je l'ai dit, nous n'avons pas lésiné sur les moyens.
texts_a10_schatzkammer_sarkophag_mo_ex_1;Examiner le sarcophage
spokentexts_a10_schatzkammer_sarkophag_ex_1_st_1;La plupart des gens imaginent un cercueil en pierre quand on leur parle de sarcophage, mais celui-ci est en bois.
spokentexts_a10_schatzkammer_sarkophag_ex_1_st_2;Comme toujours, une représentation du défunt est peinte en or et d'autres couleurs sur l'extérieur.
texts_a10_schatzkammer_vitrine_auge_mo_ex_1__2;Examiner la vitrine
spokentexts_a10_schatzkammer_vitrine_auge_ex_1_st_1;Comment la vitrine est-elle protégée ?
spokentexts_a10_schatzkammer_vitrine_auge_ex_1_st_2;Le verre est pare-balles et fait plusieurs centimètres d'épaisseur. Vous auriez besoin d'équipement lourd pour l'ouvrir.
spokentexts_a10_schatzkammer_vitrine_auge_ex_1_st_3;Et la moindre perturbation détectée sur la vitrine peut déclencher l'alarme.
spokentexts_a10_schatzkammer_vitrine_auge_ex_2_st_1_direction;nachdenklich, eher zu sich
spokentexts_a10_schatzkammer_vitrine_auge_ex_2_st_1;Hmm. Ils n'ont pas fait les choses à moitié. Un coupe-verre ne servirait pas à grand chose.
spokentexts_a10_schatzkammer_vitrine_auge_ex_2_st_2_direction;lauter zum Direktor
spokentexts_a10_schatzkammer_vitrine_auge_ex_2_st_2;La vitrine est-elle ancrée au sol ?
spokentexts_a10_schatzkammer_vitrine_auge_ex_2_st_3;Pourquoi cette question ?
spokentexts_a10_schatzkammer_vitrine_auge_ex_2_st_4;Par le passé, à Saint-Pétersbourg, le Corbeau avait dérobé une vitrine entière au lieu de ne prendre que les bijoux.
spokentexts_a10_schatzkammer_vitrine_auge_ex_2_st_5;Une telle tentative se solderait ici par un échec. La vitrine est fixée au sol et pèse plusieurs centaines de kilos.
texts_a10_schatzkammer_vitrine_mo_ex_1;Examiner ce qui reste de la vitrine
spokentexts_a10_schatzkammer_vitrine_ex_1_st_1;Des bijoux d'Égypte antique. J'aime beaucoup la chevalière en or avec le scarabée en jaspe.
spokentexts_a10_schatzkammer_vitrine_ex_1_st_2;"Ces scarabées sont fascinants. Dans une culture on les considère comme un symbole de fertilité, dans un autre on les appelle simplement ""bousiers""."
texts_a10_schatzkammer_vitrinen_sonstige_mo_ex_1;Examiner la vitrine
spokentexts_a10_schatzkammer_vitrinen_sonstige_ex_1_st_1;Qu'y a-t-il dans les autres vitrines ?
spokentexts_a10_schatzkammer_vitrinen_sonstige_ex_1_st_2;D'autres pièces originales de grande valeur.
spokentexts_a10_schatzkammer_vitrinen_sonstige_ex_1_st_3;Les Yeux du Sphinx devaient être le clou de l'exposition.
spokentexts_a10_schatzkammer_vitrinen_sonstige_ex_1_st_4;Maintenant qu'il n'en reste plus qu'un, son statut est au même niveau que les autres pièces ici présentes. Cette salle est remplie de trésors de premier ordre !
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#0;[Ohi comes into the treasure chamber. In the centre is an empty cabinet. Next to it, the safe from the ship.]
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#1;[The inspector and the museum's director are standing in front of the safe, the guardsman next to the entrance. The archaeologist stays in the background.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_1;Un grand moment !
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#3;[The Director turns a key that slides into one of the three locks. Then he speaks over his shoulder to the archaeologist.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_2;Professeur Lucien ? Votre clé, s'il vous plait.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_3_direction;räuspert sich, ist verlegen
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_3;Hrrm. Oui, eh bien...
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_4;Allez, Professeur.
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#7;[The inspector reaches his open hand out to the professor. The professor is uncertain, but finally places his key into the inspector's hand.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_5;Mais vous devez comprendre que...
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#9;[The Inspector turns to the safe and slides the key into the lock.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_6;Merci.
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#11;[The director turns the second key.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_7;Inspecteur Legrand ? La clé de la Baronne von Trebitz, s'il vous plait.
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#13;[The inspector reaches into his jacket and takes out a third key, slides it into the safe and turns it. A click can be heard.]
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#14;[The director looks excitedly and happily to the inspector, then he grabs the safe's handle and pulls the heavy door.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_8;Enfin !
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#16;[Cut. The camera is inside the safe and shows the reactions of the people around the safe, as the door opens.]
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#17;[The director has wide eyes, he is shocked. Legrand's eyes become slits, his brain is working hard.]
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#18;[Cut to over their shoulders, the safe is empty.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_9_direction;fassungslos, geschockt
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_9;Mais... mais...
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_10_direction;räuspert sich
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_10;Ahem.
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#21;[The inspector whirls around.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_11_direction;konzentriert, ahnt etwas
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_11;Professeur ?
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_12;Je... euh... Je voulais vous donner ceci.
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#24;[The archaeologist reaches into his jacket, takes out a hanky. He unfolds it. On it is the eye of the Sphinx.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_13_direction;atmet im Schock ein
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_13;*souffle coupé*
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_14;Je, eh bien... Après le cambriolage à Londres... J'ai eu peur que l'Oeil ne soit pas en sécurité pendant son voyage vers l'Égypte.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_15;Je l'ai donc pris avec moi en secret au moment où j'aurais dû le déposer dans le coffre à Londres.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_16_direction;schockiert, außer sich
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_16;Quelle audace !
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_17;Je ne pouvais laisser la responsabilité du joyau qu'à une personne en qui j'avais une confiance aveugle. Moi-même.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_18;Mais le joyau ETAIT en sécurité ! De Londres jusqu'ici personne n'a eu l'opportunité de le dérober !
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_19;Excusez moi cher collègue, mais si c'était vrai, il ne serait pas en ma possession.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_20;Félicitations, Professeur Lucien. On dirait que vous nous avez tous blousés. À vous l'honneur !
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#33;[The inspector points at the cabinet. The professor heads to it, places the jewel into the destined groove (next to it is a second, empty groove).]
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#34;[The inspector closes the cabinet and hands the key to the museum's director, turns to the camera and mimics to the guard that he will activate the alarm system.]
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#35;[Red lights light up in the corners of the cabinet.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_21;Bon... voilà qui est fait. Dois-je vous expliquer notre système de sécurité, Inspecteur ?
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_22_direction;säuerlich
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_22;L'ambassadeur de France m'attend. Je dois aller le voir.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_23_direction;säuerlich
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_23;La presse a pris l'ambassade d'assaut et je dois répondre à leurs questions.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_27;Mais vous DEVEZ absolument venir ce soir. L'inauguration de l'exposition sera l'évènement de l'année. Et VOUS êtes mon invité d'honneur !
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_28;Je verrai si je peux me libérer.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_29;Zellner ? Pouvez-vous vérifier les mesures de sécurité ? Nous nous reverrons ce soir.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_30;Bien sûr ! Mais...
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#46;[The Inspector has already turned around and leaves the treasure chamber.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_31;Attendez, Inspecteur. Je viens avec vous !
sequences_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet#48;[The archaeologist follows the inspector, both leave.]
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_32_direction;etwas ernüchtert/beleidigt
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_32;Bon. Nous y voilà.
spokentexts_a10_schatzkammer_seq_a10_schatzkammer_tresor_wird_geoeffnet_st_33;L'Inspecteur va répondre aux questions des journalistes pendant les prochaines heures et je... Bon.
